FL	Broward	Fort Lauderdale	Bal Harbour	272845	31	-80.120139611509;26.147157812919,-80.1199703605;26.148349580376,-80.119597807984;26.149933930055,-80.119286346069;26.151013531163,-80.119029965843;26.151748621343,-80.11869046234;26.153009491283,-80.118226774665;26.154745065236,-80.117946358793;26.155792618816,-80.117529740926;26.157333904629,-80.117338457241;26.157265803631,-80.116878775508;26.15710756896,-80.116572321019;26.158203193833,-80.116076585816;26.158544700306,-80.11578415212;26.158769033004,-80.114549320797;26.158243253243,-80.114196797986;26.157123592724,-80.1143860787;26.157074519947,-80.114510262872;26.156945328349,-80.114699543586;26.156784089222,-80.114834744095;26.156711982283,-80.114950916385;26.156662909506,-80.115192274333;26.156388502545,-80.11514220007;26.155636387116,-80.115261376815;26.15530389401,-80.114189787589;26.155257825688,-80.113857294483;26.154795139499,-80.114567347531;26.153019506136,-80.115659967948;26.150623953398,-80.116007483333;26.148081182327,-80.116128663049;26.147067679245,-80.120139611509;26.147157812919
FL	Broward	Fort Lauderdale	Bay Colony	268883	17	-80.106280057019;26.204214431057,-80.105425790093;26.207801751253,-80.099249630505;26.20790991166,-80.099412872602;26.207315029417,-80.099569104303;26.206788248171,-80.099707309268;26.206272483263,-80.099863540968;26.20577674806,-80.100067843961;26.20498056728,-80.100226078632;26.204400707315,-80.100987207428;26.201433306495,-80.101676229286;26.201597550077,-80.102608612062;26.201835903569,-80.10329963689;26.201946066947,-80.104409282556;26.201976111505,-80.105813364888;26.201962090711,-80.105785323301;26.203450297805,-80.106280057019;26.204214431057
FL	Broward	Fort Lauderdale	Bay Colony Club	276200	9	-80.107489851211;26.204282532055,-80.106358172869;26.208817257304,-80.099420884484;26.209019557327,-80.098936165619;26.208983503857,-80.099143473068;26.208259430015,-80.099249630505;26.20790991166,-80.105425790093;26.207801751253,-80.106280057019;26.204214431057,-80.107489851211;26.204282532055
FL	Broward	Fort Lauderdale	Bermuda Riviera	268891	21	-80.103848450811;26.172508409263,-80.103313657683;26.182194774682,-80.102886023478;26.182211799931,-80.098052855621;26.182195776167,-80.097581156065;26.182223817754,-80.097519063979;26.182218810328,-80.097673292708;26.181305455772,-80.097888612039;26.180487242316,-80.098229117027;26.179562871423,-80.098599666572;26.178501297049,-80.098816988873;26.177850331631,-80.099088391379;26.176964017178,-80.099305713679;26.176051664107,-80.099439912704;26.175250475901,-80.099568102817;26.174130815382,-80.099642212726;26.173416756392,-80.099773407295;26.172542459762,-80.100814951964;26.172521428572,-80.102362246688;26.172505404807,-80.103354718579;26.172497392925,-80.103848450811;26.172508409263
FL	Broward	Fort Lauderdale	Beverly Heights	268892	22	-80.137345128247;26.122421127038,-80.133301130774;26.122555326062,-80.132285624722;26.122577358738,-80.131371268681;26.122599391414,-80.131354243432;26.121703062107,-80.131339221153;26.120815746169,-80.131317188477;26.120069639651,-80.13140732215;26.120067636681,-80.131538516719;26.120064632225,-80.131564555336;26.120064632225,-80.132698236648;26.120048608461,-80.134063261056;26.1200255743,-80.135436297345;26.120003541624,-80.137079734654;26.119999535683,-80.137157850504;26.119999535683,-80.137273021309;26.120001538654,-80.137283036161;26.120662518924,-80.137284037646;26.120736628833,-80.13729805844;26.121088150159,-80.137312079234;26.121569864568,-80.137330105968;26.122045570066,-80.137345128247;26.122421127038
FL	Broward	Fort Lauderdale	Birch Park	272962	12	-80.103974637954;26.141543486561,-80.1038424419;26.143603541737,-80.103636135937;26.145265005781,-80.103729274066;26.145731697911,-80.10335872452;26.147781738235,-80.103256573024;26.148412673948,-80.103315660654;26.149112712143,-80.102742811086;26.152084118905,-80.100999225251;26.152015016422,-80.102755830394;26.141003686006,-80.10395861419;26.141124865722,-80.103974637954;26.141543486561
FL	Broward	Fort Lauderdale	Boulevard Park Isles	268900	22	-80.132420825232;26.206447743183,-80.132175461344;26.206502824872,-80.13159960732;26.20653286943,-80.131375274622;26.206135279783,-80.131064814192;26.206141288694,-80.130294672028;26.206155309488,-80.12962067245;26.206179345134,-80.12710093554;26.207003567502,-80.126684317672;26.207147781379,-80.126227640394;26.207290993771,-80.124925709558;26.207818776502,-80.124392919401;26.208021076524,-80.124111502043;26.208157278519,-80.123852117361;26.208187323077,-80.123079972227;26.208477753802,-80.122999853407;26.203840877056,-80.127331277149;26.203655602283,-80.131260103817;26.203608532476,-80.132269600958;26.203663614165,-80.132290632148;26.204440766726,-80.132403799982;26.206111244136,-80.132420825232;26.206447743183
FL	Broward	Fort Lauderdale	Breakwater Surf	273021	10	-80.112618457219;26.095594341423,-80.111043120907;26.095621381524,-80.11105513873;26.097038483165,-80.109439743009;26.097063520297,-80.109436738553;26.097674426304,-80.109093229109;26.097619344615,-80.109113258815;26.09479215173,-80.109577947974;26.094763108658,-80.112509295325;26.094738071527,-80.112618457219;26.095594341423
FL	Broward	Fort Lauderdale	Central Beach Alliance	268915	127	-80.10938065569;26.131845102411,-80.109316559987;26.132216655145,-80.108347122486;26.134225633663,-80.107990593189;26.135042846554,-80.107846380298;26.135341287961,-80.107793302173;26.135565621945,-80.107774272876;26.135824004758,-80.107739220142;26.136163508665,-80.107703167408;26.136459948118,-80.10771218108;26.136988731322,-80.10771218108;26.137081869994,-80.10793951897;26.137081869994,-80.107977573658;26.137951159057,-80.107977573658;26.138166477416,-80.106588515063;26.138189512573,-80.105401755296;26.138206537963,-80.104601567795;26.138185506713,-80.104580536545;26.138185506713,-80.103924563888;26.138207539917,-80.103569036544;26.138212545776,-80.103201491622;26.13820954187,-80.102755829512;26.141003686403,-80.100999225995;26.152015016492,-80.102742811934;26.152084118054,-80.102720778731;26.152660973524,-80.102368255293;26.152626924696,-80.102495444746;26.156150149308,-80.102529495528;26.160269258687,-80.1030031967;26.160252233296,-80.102996186934;26.16298428408,-80.10463662053;26.163017332908,-80.104394261154;26.166279170802,-80.104125862717;26.167496977444,-80.103739288498;26.167504989162,-80.103615104904;26.167508995022,-80.103275600997;26.167508995022,-80.101959649824;26.167528022366,-80.101585093183;26.167533030178,-80.101173483808;26.167540039944,-80.100484462323;26.167528022366,-80.100909091229;26.163795487206,-80.101062319745;26.162057911032,-80.101214544355;26.160216178609,-80.101142436933;26.157859684466,-80.100212058026;26.157843661029,-80.100066843182;26.157823631732,-80.099731345135;26.157763541888,-80.100020774822;26.156432567277,-80.100182013104;26.155043508682,-80.100941140058;26.148090196176,-80.101693255293;26.14427153211,-80.10234622209;26.138074340698,-80.102395296309;26.1376326864,-80.102458390059;26.136902604368,-80.102533501387;26.136282684446,-80.102600600997;26.135919145383,-80.102571558028;26.135690807492,-80.102552528731;26.135537578976,-80.102552528731;26.135461465695,-80.102552528731;26.135367327023,-80.102589583418;26.134411911007,-80.102495444746;26.131782010614,-80.102457388106;26.128669393423,-80.102610614669;26.127243278187,-80.102746817794;26.125711006702,-80.103019220138;26.124362004747,-80.103088323653;26.123594868028,-80.103207499435;26.121478729354,-80.103563026779;26.120390114119,-80.103653161544;26.120022569196,-80.103644147873;26.119207360211,-80.103550007248;26.116864887553,-80.103720261154;26.114978088723,-80.10385345842;26.114380202004,-80.104028718185;26.113584020362,-80.104078792404;26.112571520361,-80.104164919357;26.110579565281,-80.104200974045;26.110028748875,-80.105953573656;26.110227041844,-80.106211956469;26.110255084812,-80.107028167407;26.110341211766,-80.108067708424;26.110651672703,-80.108442263111;26.110815914891,-80.109354616628;26.111640137548,-80.108586477955;26.112833909034,-80.108207915455;26.114447301613,-80.107435770923;26.114353160988,-80.10694604436;26.114291069191,-80.106142852953;26.114162879738,-80.106013661547;26.114162879738,-80.105957579515;26.114169889503,-80.105904499437;26.114201938332,-80.105878462328;26.114338139504,-80.105817370531;26.114735729348,-80.105814366625;26.114781797707,-80.105827386156;26.114832873879,-80.105866442796;26.114852903176,-80.105886474046;26.11486792466,-80.105891479906;26.115004127786,-80.105913513109;26.115315588723,-80.106299085375;26.115686139505,-80.107946528736;26.115919485208,-80.10809174358;26.116079721537,-80.108186884205;26.116475309427,-80.108125794361;26.116593485209,-80.107999606861;26.116711659037,-80.106361177172;26.11760498521,-80.106537438891;26.117609991069,-80.107604020923;26.117638034038,-80.107711179126;26.117764221538,-80.107849384205;26.117929465679,-80.107762255298;26.118561403179,-80.108244970142;26.118634510601,-80.108341112721;26.118965000836,-80.108265001392;26.11963599693,-80.107904466236;26.121807215682,-80.107331616626;26.121938410995,-80.107050198657;26.12194942662,-80.106723714282;26.122781660996,-80.106200938891;26.12425785045,-80.1062680385;26.124628401232,-80.106071747484;26.12500295592,-80.106147860766;26.125859225452,-80.106242001391;26.126867721546,-80.10927549944;26.129502629752,-80.109354616628;26.131167098504,-80.10938065569;26.131845102411
FL	Broward	Fort Lauderdale	City View Townhome	273267	6	-80.148665917608;26.125912304648,-80.148141139332;26.125924322471,-80.145640430642;26.12595637,-80.145517247955;26.123993458893,-80.148604827007;26.124026507907,-80.148665917608;26.125912304648
