IN	Allen	Fort Wayne	Rolling Hills	276545	6	-85.269931963733;41.030597328623,-85.26512084156;41.030609032857,-85.26509401255;41.025572291198,-85.267972374266;41.023375394,-85.269872158241;41.023322102944,-85.269931963733;41.030597328623
IN	Allen	Fort Wayne	Harrison Hill	273941	47	-85.140096269887;41.049714014491,-85.140099369322;41.04961165064,-85.139601426291;41.049615793282,-85.138823676571;41.049622259474,-85.138092753968;41.049619570314,-85.138068150215;41.049640536978,-85.138031434598;41.048990803544,-85.138027605318;41.048916541344,-85.137964340338;41.047239172919,-85.137953159035;41.047027939185,-85.137924655989;41.046489462866,-85.137260346316;41.04649377096,-85.137248322467;41.046333767198,-85.137236298671;41.04617376343,-85.137234901807;41.046153528429,-85.137195042292;41.045580714421,-85.137157521727;41.045088517152,-85.137132546094;41.044760881315,-85.137078621114;41.043830639836,-85.137027169887;41.042881388621,-85.137677037041;41.042874325773,-85.13767733067;41.042851216562,-85.139263713807;41.042831921636,-85.141490651238;41.042804798885,-85.141801859156;41.042801005131,-85.141811806472;41.043152748281,-85.141813832954;41.043224405522,-85.141849141536;41.043608168508,-85.141823585032;41.04392772991,-85.141775239333;41.044218148413,-85.141673020768;41.044531541982,-85.141709713286;41.044740966549,-85.141708328932;41.044915332369,-85.141668175064;41.045141836073,-85.141788639027;41.04543009977,-85.141909104031;41.045718363333,-85.142024995813;41.046491721536,-85.141733379231;41.04649320938,-85.140793772627;41.046497998283,-85.14080076296;41.046692033387,-85.14083484443;41.047638040278,-85.14084680614;41.048170758648,-85.14086316911;41.048899477729,-85.14087925468;41.049675894782,-85.140879833981;41.04970334461,-85.140488051959;41.049708680217,-85.140096269887;41.049714014491
IN	Allen	Fort Wayne	Old Brook Farm	274876	44	-85.072328453873;41.140928025134,-85.072307310553;41.140551292071,-85.072307919995;41.140483748802,-85.072299696203;41.14040938065,-85.072136998633;41.137635240742,-85.072138217989;41.137500126691,-85.072121089054;41.137418960665,-85.072098350332;41.136949723559,-85.07207580467;41.136591866328,-85.072112265805;41.136590462451,-85.073741064789;41.13652803798,-85.073928622983;41.136522250506,-85.07429041092;41.136507202762,-85.07430171059;41.136740338645,-85.075320045712;41.136705027459,-85.075311075494;41.136580016383,-85.075637081923;41.136571560222,-85.075940793326;41.136559585509,-85.076052420656;41.136560157403,-85.076235580245;41.136550967689,-85.076342772722;41.136548140639,-85.076462961017;41.136585918874,-85.077129823354;41.136771659528,-85.077214334022;41.138115088547,-85.076706569275;41.138133048997,-85.076617271329;41.138135967965,-85.076609520626;41.138004211361,-85.076515751598;41.138003731419,-85.075979752802;41.138024645621,-85.076041868949;41.139065332687,-85.076074015773;41.13957364632,-85.076176065017;41.139570024575,-85.076212308931;41.139568728076,-85.076214095912;41.139596183967,-85.076238443565;41.139974332585,-85.076247794056;41.140113864788,-85.076267878077;41.140453319081,-85.076271737451;41.140496649792,-85.07413000339;41.140573903532,-85.074038852022;41.140576646292,-85.074055595759;41.140850293948,-85.073964429681;41.140854628484,-85.072364774177;41.14092640088,-85.072328453873;41.140928025134
IN	Allen	Fort Wayne	Greenfield	273893	55	-85.077214334022;41.138115088547,-85.077129823354;41.136771659528,-85.076462961017;41.136585918874,-85.076342772722;41.136548140639,-85.076235580245;41.136550967689,-85.076052420656;41.136560157403,-85.075940793326;41.136559585509,-85.075637081923;41.136571560222,-85.075311075494;41.136580016383,-85.075320045712;41.136705027459,-85.07430171059;41.136740338645,-85.07429041092;41.136507202762,-85.073928622983;41.136522250506,-85.073741064789;41.13652803798,-85.072112265805;41.136590462451,-85.07207580467;41.136591866328,-85.072051475798;41.136206360992,-85.072047382588;41.136136981933,-85.072083697523;41.136135659651,-85.073816352368;41.136072754133,-85.077078870567;41.135950301855,-85.077064843318;41.13576935599,-85.077484316862;41.135753714901,-85.077809717316;41.135743520344,-85.078139001901;41.135733344695,-85.078382044758;41.135725692336,-85.078468312857;41.135720203989,-85.078629070842;41.135715095529,-85.078891716191;41.135707542073,-85.080691578681;41.135645479562,-85.080773729811;41.136972453683,-85.08199493536;41.136928233421,-85.082085085914;41.136927208431,-85.082146391657;41.137918648892,-85.082148072176;41.137946104161,-85.08206027038;41.137948211533,-85.081999477549;41.137950455807,-85.081349836611;41.137972794813,-85.081251906395;41.137974850148,-85.081218122493;41.137977231149,-85.08090739195;41.137985890498,-85.080836470684;41.1379880827,-85.080556138994;41.137999420662,-85.080211660874;41.138010431669,-85.079867123369;41.138024021338,-85.079522645029;41.138035030283,-85.07917479046;41.138046020993,-85.078828727399;41.138059654675,-85.078480872609;41.138070643289,-85.078146485915;41.138081699602,-85.077994491843;41.138088581275,-85.077788479479;41.138095214298,-85.077643260418;41.138099577565,-85.077250649966;41.138113764642,-85.077214334022;41.138115088547
IN	Allen	Fort Wayne	Imperial Gardens	274087	24	-85.041553642849;41.128641568725,-85.041488725541;41.127529868999,-85.041412760374;41.126408310601,-85.041096354146;41.126171265381,-85.040982539027;41.126062781854,-85.040493046759;41.125366049744,-85.040442184275;41.12522963737,-85.040211727421;41.124898255264,-85.040095751962;41.124452383039,-85.038575295818;41.123416034763,-85.037784245421;41.123432993696,-85.037665401936;41.121274092925,-85.041179755584;41.12116651861,-85.04232681963;41.121131373762,-85.047066711233;41.120986033246,-85.047205975671;41.123287318647,-85.04723175325;41.123664960538,-85.047396943261;41.126275352506,-85.047513574877;41.128144281902,-85.042703449727;41.128288381834,-85.042694494414;41.128126287556,-85.042139981295;41.128143348646,-85.042160741058;41.128626222557,-85.041553642849;41.128641568725
IN	Allen	Fort Wayne	Bass-Leesburg	343366	112	-85.181569207651;41.117499635204,-85.180657345227;41.116884663707,-85.173582584642;41.111079859936,-85.169013386025;41.107324845012,-85.171720767389;41.104383894342,-85.171930689562;41.104213114596,-85.173081385508;41.103799177965,-85.175015937925;41.103491582746,-85.17482246649;41.101451395204,-85.174717558918;41.100922209746,-85.174455291119;41.100013639567,-85.172909665826;41.095880957789,-85.172511585148;41.094645950316,-85.172112400848;41.093565078728,-85.171659631941;41.092224711312,-85.170663482378;41.089429291212,-85.170409908173;41.088685402022,-85.169475372805;41.086012291987,-85.169466148149;41.085984805197,-85.168919757612;41.08435947829,-85.168804833412;41.083681891477,-85.169194646708;41.083742969103,-85.171711955958;41.084416948536,-85.175842927771;41.085282086424,-85.17671129765;41.085392053944,-85.177639281015;41.085436916369,-85.178062793871;41.085431877218,-85.179611681015;41.085312090634,-85.179684402818;41.085303559806,-85.179756469905;41.085300186209,-85.1851394224;41.084798824626,-85.185782792712;41.08473887509,-85.185829596389;41.086008165733,-85.185914789966;41.088317830436,-85.185920283495;41.088455198172,-85.182440634485;41.088462487782,-85.181879468653;41.088487247772,-85.180448616199;41.088490418637,-85.179885591423;41.088491638991,-85.179596170438;41.088492283352,-85.176847928291;41.088568528407,-85.176286670873;41.088580799825,-85.176350160151;41.090456194085,-85.176425265684;41.093371768074,-85.176451321166;41.095071203692,-85.176484266447;41.09584776373,-85.177654604242;41.095809887765,-85.177690530888;41.095808722651,-85.177691977249;41.09584366878,-85.177757306913;41.097417864726,-85.177814413703;41.09852520748,-85.1778223318;41.098668610511,-85.177874334818;41.09961041223,-85.178001222418;41.102099262862,-85.178545596742;41.102094212594,-85.178590724858;41.10297871657,-85.180738400095;41.102947055142,-85.181086966298;41.10293518418,-85.182869111895;41.102917642948,-85.182758718342;41.099084021306,-85.182698698474;41.097160011861,-85.182699459861;41.097026458115,-85.1826832613;41.096469546032,-85.182666413463;41.095872558588,-85.182663275892;41.095761110709,-85.183664518783;41.095760889635,-85.189847362195;41.095728816217,-85.189714010036;41.088443750693,-85.189894822151;41.088447572417,-85.189923116397;41.088447799176,-85.189989099899;41.088448346401,-85.189992310506;41.088516181233,-85.19050653443;41.088516164698,-85.192168701386;41.088511158539,-85.1921889326;41.088512723916,-85.192217260305;41.092426645483,-85.192158499592;41.09242003602,-85.192099181078;41.092485994075,-85.192096898394;41.102837799983,-85.192225634568;41.102959233457,-85.192225481384;41.104151719925,-85.192235395176;41.106578755398,-85.192203956807;41.108317059006,-85.192213393656;41.110512411437,-85.192314182599;41.110525533976,-85.19236300132;41.113088918237,-85.192383533182;41.114912711119,-85.191859420304;41.115305075863,-85.191867840354;41.11598079781,-85.191876216976;41.116475973954,-85.191714585278;41.116736190922,-85.191501472023;41.117074419123,-85.191182486199;41.11727225883,-85.190836689376;41.117408149221,-85.190491422864;41.117475396138,-85.190255427675;41.117488144862,-85.181569207651;41.117499635204::-85.174617448579;41.106003747338,-85.174877459446;41.105494865192,-85.175065641822;41.104968467004,-85.175180033115;41.104430061592,-85.175199695277;41.104157816939,-85.175204103285;41.1035512585,-85.175707597296;41.103341238386,-85.175972536678;41.103269851239,-85.176600795759;41.103222953689,-85.177082545785;41.103976881301,-85.177592585823;41.104342305699,-85.178081856033;41.104337929667,-85.178136065255;41.106769435451,-85.174152677467;41.106788446908,-85.174617448579;41.106003747338
IN	Allen	Fort Wayne	Oakborough	274841	63	-85.250543966345;41.059752292693,-85.248558559673;41.059770647496,-85.248579927834;41.05902270307,-85.248576460678;41.059030505027,-85.248680565109;41.058652544178,-85.24878730672;41.058439258922,-85.248854659582;41.058304739937,-85.248922012688;41.058170138674,-85.249271886029;41.057782523076,-85.250296109565;41.057352123038,-85.250131522634;41.055061017953,-85.249856453062;41.0550055419,-85.249581383962;41.054950071833,-85.248971471106;41.054526852616,-85.248685481859;41.05424044824,-85.248399495089;41.053954043152,-85.249940785127;41.05264348107,-85.249982832803;41.052607731943,-85.250812219276;41.051696177259,-85.251208341805;41.051242120959,-85.251283368761;41.051026463706,-85.251379108361;41.050751265625,-85.251401196878;41.050718147721,-85.25142328526;41.050685029716,-85.252710498308;41.050682734711,-85.25270062274;41.051525218496,-85.253225155631;41.051610646903,-85.253415453567;41.051563364147,-85.253605751234;41.051516081075,-85.253877864931;41.051514972587,-85.254832883895;41.051511077115,-85.255081064383;41.051539464107,-85.255233399052;41.051570499186,-85.256127446664;41.051752638489,-85.256176989264;41.051744189621,-85.256223027493;41.05172791891,-85.256533811362;41.051998252591,-85.256506380932;41.052051231552,-85.256478950458;41.052104210505,-85.256355037891;41.052484984394,-85.255703320005;41.052493343799,-85.25570331994;41.052493363392,-85.255701372581;41.053075354483,-85.25601951669;41.053165277956,-85.256122188941;41.053038167862,-85.256224860795;41.052911057673,-85.256668545189;41.053109292897,-85.256204618632;41.05376014034,-85.256171588404;41.054091680915,-85.256171367094;41.054140494931,-85.255698272985;41.054012116042,-85.255694835914;41.055038189267,-85.255308430016;41.055043949772,-85.255129051032;41.055106521454,-85.254949671709;41.055169092855,-85.254853041547;41.055348417063,-85.254618061592;41.055784483425,-85.253615346132;41.055519439287,-85.253303554492;41.05593189764,-85.253304207935;41.056092734904,-85.253314083524;41.058523496945,-85.250543189394;41.058515520968,-85.250543966345;41.059752292693
IN	Allen	Fort Wayne	Taylor Street	275676	42	-85.175182361557;41.07484486627,-85.174622701234;41.074814209247,-85.17387749634;41.074641431817,-85.172927441447;41.074411259176,-85.173267048299;41.073918088923,-85.173550336791;41.073467082558,-85.1739644665;41.072988336598,-85.174341060747;41.072537726813,-85.174681594302;41.07191736638,-85.174682225802;41.071832557576,-85.174647538433;41.071479110677,-85.174689380987;41.070871610617,-85.174543583925;41.070404607546,-85.1741001637;41.069809171034,-85.173877595443;41.069624489321,-85.173584401863;41.068902502724,-85.173550354661;41.068464246507,-85.173590728978;41.068054578986,-85.173750990487;41.067844964368,-85.171455460476;41.06785977742,-85.171419592255;41.067860007651,-85.171430511316;41.065575549173,-85.17490806178;41.060321761847,-85.180560846418;41.060245709996,-85.180549613921;41.062192186286,-85.180572398285;41.064148109873,-85.180576270071;41.066146139289,-85.180601332189;41.067792522653,-85.180566995168;41.068437522145,-85.180646534262;41.071582251664,-85.180647507483;41.07163237415,-85.180693987916;41.074006166332,-85.180526767837;41.074117445621,-85.179891425075;41.074016916787,-85.178809991744;41.073885129823,-85.178436866065;41.073869442971,-85.177802260127;41.073880862365,-85.177483944823;41.074020837558,-85.176903553525;41.074272753664,-85.176305004166;41.074453940855,-85.175668501676;41.074719747356,-85.175182361557;41.07484486627
IN	Allen	Fort Wayne	Coves At West Lakes	273384	25	-85.284258801457;41.052505548877,-85.274925249371;41.052477938546,-85.274918693139;41.052492716531,-85.274920147556;41.051279280575,-85.274921453673;41.050189411072,-85.275409192584;41.050190872442,-85.275408210128;41.050234372948,-85.275589078739;41.05023020967,-85.276111431833;41.050221465111,-85.276111754897;41.050326451787,-85.278443021591;41.050169552815,-85.279146028914;41.050038280662,-85.279399717919;41.04996254007,-85.279694148966;41.049851158039,-85.279998672373;41.049712499118,-85.28013362151;41.049643142946,-85.280703226061;41.050458510678,-85.281077704283;41.05024546744,-85.281116651961;41.050226830446,-85.281155599617;41.05020819344,-85.28214077032;41.05022834397,-85.283157511499;41.050234414465,-85.284250255926;41.05021354123,-85.284250255951;41.050213547766,-85.284258801457;41.052505548877
IN	Allen	Fort Wayne	Liberty Hill	276422	19	-85.269987327779;41.037828465977,-85.265215062935;41.037825315081,-85.265211710242;41.03756873094,-85.265211710226;41.037568724415,-85.265120841837;41.030609032855,-85.265120841496;41.030609006771,-85.266894375589;41.030604714498,-85.267519443312;41.030603196883,-85.267520406266;41.030671789743,-85.267525398318;41.031027517561,-85.2675294286;41.031314460551,-85.267530013598;41.031355632649,-85.267530391403;41.031383080886,-85.267547366423;41.032821516425,-85.267733260834;41.032820821641,-85.269692862625;41.032813405036,-85.269946575588;41.032812453399,-85.269947189803;41.032903331804,-85.269987327779;41.037828465977
